id,title,filtered_words,label
R129,New Report on Election,"['party', 'truth', 'receive', 'back.', 'pattern', 'tonight', 'talk.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['difficult', 'open', 'catch', 'american', 'age', 'situation', 'protect.', 'half', 'develop', 'event', 'camera', 'success', 'half.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['tell', 'question', 'thank', 'race', 'style.', 'standard', 'loss', 'market', 'third', 'current', 'pick.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['learn', 'likely', 'another', 'statement', 'kitchen', 'science', 'get', 'return.', 'short', 'worry', 'animal', 'wide', 'beat', 'strong.', 'record', 'perhaps', 'environment', 'first', 'probably', 'new.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['trial', 'manage', 'best', 'meet', 'personal', 'ground.', 'respond', 'something', 'bed.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['near', 'security', 'side', 'material.', 'step', 'significant', 'evening', 'especially', 'choice.', 'think', 'citizen', 'property', 'miss', 'hospital.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['two', 'life', 'assume.', 'hundred', 'cover', 'time', 'crime', 'water', 'including.', 'left', 'page', 'read', 'late.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['go', 'provide', 'list', 'staff', 'argue.', 'response', 'language', 'score', 'magazine', 'arrive', 'evening.', 'example', 'pass', 'people', 'final', 'party.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['voice', 'adult', 'interest', 'firm', 'factor.', 'raise', 'arrive', 'activity', 'bring', 'their.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['black', 'fast', 'body', 'character', 'case.', 'owner', 'able', 'whatever', 'chair', 'democrat', 'impact', 'stuff.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['article', 'response', 'administration', 'concern', 'put', 'late', 'lawyer.', 'find', 'receive', 'individual', 'health', 'sign', 'individual.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['analysis', 'move', 'need', 'poor', 'official', 'section', 'somebody.', 'manager', 'serious', 'pay', 'item', 'remain.', 'machine', 'decide', 'fine', 'yet', 'seem', 'off.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['arrive', 'amount', 'common.', 'cut', 'many', 'truth', 'western.', 'direction', 'marriage', 'bit', 'senior', 'type.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['candidate', 'thus.', 'remain', 'pass', 'president', 'many', 'forget.', 'letter', 'light', 'staff', 'whose', 'agency.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['standard', 'style', 'type', 'example', 'general.', 'research', 'role.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['guy', 'someone', 'three.', 'center', 'owner', 'long', 'stay', 'together', 'tree', 'seek.', 'avoid', 'information', 'purpose', 'her.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['enjoy', 'important', 'industry', 'yeah', 'charge', 'paper', 'government.', 'defense', 'beautiful', 'field', 'environmental.', 'fear', 'tend', 'sound', 'data', 'push', 'section', 'great.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['parent', 'far', 'song', 'gas', 'guess', 'hold.', 'top', 'bank', 'quality.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['region', 'entire', 'air', 'explain.', 'offer', 'ever', 'middle', 'even', 'fine.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['center', 'another', 'treatment', 'exactly.', 'benefit', 'draw', 'information', 'address', 'safe', 'issue', 'support.', 'fast', 'let', 'arrive', 'modern', 'behavior', 'son', 'lawyer.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['crime', 'level', 'instead', 'choice', 'company', 'account.', 'recent', 'stock', 'like', 'us', 'to.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
